GSSyear                    ,Idnum,Ballot used for interview,prestige
2012,265,Ballot b,61
2012,266,Ballot c,38
2012,267,Ballot a,33
2012,268,Ballot b,61
2012,269,Ballot a,35
2012,270,Ballot b,39
2012,271,Ballot c,17
2012,272,Ballot a,45
2012,273,Ballot c,43
2012,274,Ballot b,63
2012,275,Ballot c,64
2012,276,Ballot b,35
2012,277,Ballot a,31
2012,278,Ballot b,66
2012,279,Ballot a,58
2012,280,Ballot c,53
2012,281,Ballot b,59
2012,282,Ballot a,64
2012,283,Ballot b,64
2012,284,Ballot a,47
2012,285,Ballot c,55
2012,286,Ballot a,39
2012,287,Ballot c,53
2012,288,Ballot c,24
2012,289,Ballot c,0
2012,290,Ballot a,53
2012,291,Ballot b,31
2012,292,Ballot c,74
2012,293,Ballot b,48
2012,294,Ballot b,31
2012,295,Ballot b,64
2012,296,Ballot a,35
2012,297,Ballot c,39
2012,298,Ballot a,25
2012,299,Ballot c,36
2012,300,Ballot c,33
2012,301,Ballot b,17
2012,302,Ballot a,49
2012,303,Ballot c,47
2012,304,Ballot c,46
2012,305,Ballot a,55
2012,306,Ballot b,63
2012,307,Ballot a,41
2012,308,Ballot c,51
2012,309,Ballot a,0
2012,310,Ballot c,73
2012,311,Ballot a,53
2012,312,Ballot b,35
2012,313,Ballot c,74
2012,314,Ballot a,60
2012,315,Ballot c,39
2012,316,Ballot a,50
2012,317,Ballot c,38
2012,318,Ballot b,25
2012,319,Ballot c,38
2012,320,Ballot b,38
2012,321,Ballot b,33
2012,322,Ballot c,21
2012,323,Ballot a,38
2012,324,Ballot a,35
2012,325,Ballot c,43
2012,326,Ballot c,47
2012,327,Ballot a,46
2012,328,Ballot c,65
2012,329,Ballot c,63
2012,330,Ballot b,74
2012,331,Ballot a,60
2012,332,Ballot b,60
2012,333,Ballot c,51
2012,334,Ballot a,40
2012,335,Ballot c,64
2012,336,Ballot a,64
2012,337,Ballot c,39
2012,338,Ballot a,35
2012,339,Ballot c,50
2012,340,Ballot b,38
2012,341,Ballot a,61
2012,342,Ballot c,25
2012,343,Ballot a,0
2012,344,Ballot b,31
2012,345,Ballot c,51
2012,346,Ballot c,62
2012,347,Ballot a,63
2012,348,Ballot b,31
2012,349,Ballot a,48
2012,350,Ballot c,51
2012,351,Ballot a,53
2012,352,Ballot c,69
2012,353,Ballot b,21
2012,354,Ballot a,60
2012,355,Ballot a,31
2012,356,Ballot b,48
2012,357,Ballot c,35
2012,358,Ballot a,39
2012,359,Ballot c,51
2012,360,Ballot a,73
2012,361,Ballot c,64
2012,362,Ballot a,32
2012,363,Ballot c,0
2012,364,Ballot a,24
2012,365,Ballot b,35
2012,366,Ballot a,34
2012,367,Ballot b,64
2012,368,Ballot c,28
2012,369,Ballot b,53
2012,370,Ballot c,35
2012,371,Ballot a,48
2012,372,Ballot a,61
2012,373,Ballot c,60
2012,374,Ballot b,29
2012,375,Ballot a,53
2012,376,Ballot c,24
2012,377,Ballot a,45
2012,378,Ballot c,46
2012,379,Ballot b,60
2012,380,Ballot a,63
2012,381,Ballot b,49
2012,382,Ballot b,47
2012,383,Ballot c,60
2012,384,Ballot a,35
2012,385,Ballot b,39
2012,386,Ballot a,0
2012,387,Ballot a,22
2012,388,Ballot c,21
2012,389,Ballot a,61
2012,390,Ballot c,31
2012,391,Ballot b,28
2012,392,Ballot a,48
2012,393,Ballot c,47
2012,394,Ballot a,33
2012,395,Ballot a,24
2012,396,Ballot b,64
2012,397,Ballot b,46
2012,398,Ballot a,45
2012,399,Ballot b,48
2012,400,Ballot b,70
2012,401,Ballot a,66
2012,402,Ballot c,60
2012,403,Ballot b,60
2012,404,Ballot c,0
2012,405,Ballot c,53
2012,406,Ballot a,0
2012,407,Ballot b,51
2012,408,Ballot c,52
2012,409,Ballot a,61
2012,410,Ballot c,33
2012,411,Ballot a,48
2012,412,Ballot a,64
2012,413,Ballot c,64
2012,414,Ballot b,38
2012,415,Ballot c,47
2012,416,Ballot c,38
2012,417,Ballot a,53
2012,418,Ballot b,45
2012,419,Ballot a,31
2012,420,Ballot a,46
2012,421,Ballot c,48
2012,422,Ballot b,60
2012,423,Ballot a,24
2012,424,Ballot c,38
2012,425,Ballot b,48
2012,426,Ballot a,0
2012,427,Ballot b,64
2012,428,Ballot a,32
2012,429,Ballot c,41
2012,430,Ballot c,48
2012,431,Ballot b,61
2012,432,Ballot b,53
2012,433,Ballot b,50
2012,434,Ballot a,39
2012,435,Ballot b,60
2012,436,Ballot a,50
2012,437,Ballot c,62
2012,438,Ballot a,47
2012,439,Ballot c,47
2012,440,Ballot c,44
2012,441,Ballot a,59
2012,442,Ballot b,48
2012,443,Ballot b,43
